2017-04-02 09:00:43 install libsemanage-common:all <none> 2.1.6-6
2017-04-02 09:00:43 status half-installed libsemanage-common:all 2.1.6-6
2017-04-02 09:00:43 status unpacked libsemanage-common:all 2.1.6-6
2017-04-02 09:00:43 status unpacked libsemanage-common:all 2.1.6-6
2017-04-02 09:00:43 install libsemanage1:armhf <none> 2.1.6-6
2017-04-02 09:00:43 status half-installed libsemanage1:armhf 2.1.6-6
2017-04-02 09:00:43 status unpacked libsemanage1:armhf 2.1.6-6
2017-04-02 09:00:43 status unpacked libsemanage1:armhf 2.1.6-6
2017-04-02 09:00:43 install libsepol1:armhf <none> 2.1.4-3
2017-04-02 09:00:43 status half-installed libsepol1:armhf 2.1.4-3
2017-04-02 09:00:43 status unpacked libsepol1:armhf 2.1.4-3
2017-04-02 09:00:43 status unpacked libsepol1:armhf 2.1.4-3
2017-04-02 09:00:44 install libtext-charwidth-perl:armhf <none> 0.04-7+b2
2017-04-02 09:00:44 status half-installed libtext-charwidth-perl:armhf 0.04-7+b2
2017-04-02 09:00:44 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2017-04-02 09:00:44 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2017-04-02 09:00:44 install libtext-iconv-perl:armhf <none> 1.7-5
2017-04-02 09:00:44 status half-installed libtext-iconv-perl:armhf 1.7-5
2017-04-02 09:00:44 status unpacked libtext-iconv-perl:armhf 1.7-5
2017-04-02 09:00:44 status unpacked libtext-iconv-perl:armhf 1.7-5
2017-04-02 09:00:44 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-04-02 09:00:44 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-04-02 09:00:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-04-02 09:00:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-04-02 09:00:44 install lsb-base:all <none> 4.1+Debian8+deb7u1
2017-04-02 09:00:44 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2017-04-02 09:00:44 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-04-02 09:00:44 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-04-02 09:00:44 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2017-04-02 09:00:44 status half-configured mawk:armhf 1.3.3-17
2017-04-02 09:00:44 status unpacked mawk:armhf 1.3.3-17
2017-04-02 09:00:44 status half-installed mawk:armhf 1.3.3-17
2017-04-02 09:00:44 status half-installed mawk:armhf 1.3.3-17
2017-04-02 09:00:44 status unpacked mawk:armhf 1.3.3-17
2017-04-02 09:00:44 status unpacked mawk:armhf 1.3.3-17
2017-04-02 09:00:44 install libncurses5:armhf <none> 5.9-10
2017-04-02 09:00:44 status half-installed libncurses5:armhf 5.9-10
2017-04-02 09:00:44 status unpacked libncurses5:armhf 5.9-10
2017-04-02 09:00:44 status unpacked libncurses5:armhf 5.9-10
2017-04-02 09:00:44 install libtinfo5:armhf <none> 5.9-10
2017-04-02 09:00:44 status half-installed libtinfo5:armhf 5.9-10
2017-04-02 09:00:44 status unpacked libtinfo5:armhf 5.9-10
2017-04-02 09:00:44 status unpacked libtinfo5:armhf 5.9-10
2017-04-02 09:00:44 install ncurses-base:all <none> 5.9-10
2017-04-02 09:00:44 status half-installed ncurses-base:all 5.9-10
2017-04-02 09:00:44 status unpacked ncurses-base:all 5.9-10
2017-04-02 09:00:44 status unpacked ncurses-base:all 5.9-10
2017-04-02 09:00:45 install ncurses-bin:armhf <none> 5.9-10
2017-04-02 09:00:45 status half-installed ncurses-bin:armhf 5.9-10
2017-04-02 09:00:45 status unpacked ncurses-bin:armhf 5.9-10
2017-04-02 09:00:45 status unpacked ncurses-bin:armhf 5.9-10
2017-04-02 09:00:45 install libpam-modules:armhf <none> 1.1.3-7.1
2017-04-02 09:00:45 status half-installed libpam-modules:armhf 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam-modules:armhf 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam-modules:armhf 1.1.3-7.1
2017-04-02 09:00:46 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2017-04-02 09:00:46 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2017-04-02 09:00:46 install libpam-runtime:all <none> 1.1.3-7.1
2017-04-02 09:00:46 status half-installed libpam-runtime:all 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam-runtime:all 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam-runtime:all 1.1.3-7.1
2017-04-02 09:00:46 install libpam0g:armhf <none> 1.1.3-7.1
2017-04-02 09:00:46 status half-installed libpam0g:armhf 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam0g:armhf 1.1.3-7.1
2017-04-02 09:00:46 status unpacked libpam0g:armhf 1.1.3-7.1
2017-04-02 09:00:46 upgrade perl-base:armhf 5.14.2-21+deb7u3 5.14.2-21+deb7u3
2017-04-02 09:00:46 status half-configured perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:46 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:46 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:46 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:47 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:47 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-04-02 09:00:47 install sed:armhf <none> 4.2.1-10
2017-04-02 09:00:47 status half-installed sed:armhf 4.2.1-10
2017-04-02 09:00:47 status unpacked sed:armhf 4.2.1-10
2017-04-02 09:00:47 status unpacked sed:armhf 4.2.1-10
2017-04-02 09:00:47 install sensible-utils:all <none> 0.0.7
2017-04-02 09:00:47 status half-installed sensible-utils:all 0.0.7
